Temp,1,2,3
248.781,45.78691,-0.42607,3.57375
249.781,45.98737,-0.42934,3.57208
250.781,46.18723,-0.43074,3.57038
251.781,46.38656,-0.43315,3.56865
252.781,46.58641,-0.43693,3.56689
253.781,46.78652,-0.43912,3.5651
254.781,46.98644,-0.44115,3.56328
255.781,47.18648,-0.4446,3.56143
256.781,47.38665,-0.4473,3.55955
257.781,47.58665,-0.44887,3.55764
258.781,47.78641,-0.4508,3.55571
259.781,47.9861,-0.45365,3.55374
260.781,48.18559,-0.45564,3.55175
261.781,48.38556,-0.45933,3.54973
262.781,48.58601,-0.46018,3.54768
263.781,48.78601,-0.46356,3.5456
264.781,48.98562,-0.4649,3.54349
265.781,49.18522,-0.46726,3.54136
266.781,49.38517,-0.46922,3.53919
267.781,49.58518,-0.4693,3.537
268.781,49.78523,-0.47161,3.53478
269.781,49.98536,-0.47625,3.53253
270.781,50.18539,-0.48087,3.53025
271.781,50.38524,-0.4826,3.52794
272.781,50.58512,-0.48542,3.5256
273.781,50.78502,-0.48768,3.52324
274.781,50.98506,-0.49098,3.52085
275.781,51.1853,-0.49409,3.51843
276.781,51.38522,-0.49556,3.51598
277.781,51.58501,-0.49947,3.51351
278.781,51.78487,-0.50143,3.51101
279.781,51.98487,-0.50321,3.50848
280.781,52.18481,-0.50571,3.50592
281.781,52.38491,-0.50805,3.50333
282.781,52.58533,-0.51125,3.50072
283.781,52.78539,-0.51344,3.49808
284.781,52.98515,-0.51568,3.49541
285.781,53.18482,-0.51863,3.49271
286.781,53.38454,-0.52358,3.48999
287.781,53.58472,-0.52473,3.48724
288.781,53.78493,-0.52679,3.48446
289.781,53.98506,-0.52947,3.48165
290.781,54.18518,-0.53174,3.47882
291.781,54.38506,-0.53525,3.47596
292.781,54.58477,-0.53691,3.47308
293.781,54.78452,-0.54034,3.47017
294.781,54.98449,-0.542,3.46723
295.781,55.18463,-0.5452,3.46426
296.781,55.38469,-0.54741,3.46127
297.781,55.58462,-0.55013,3.45825
298.781,55.78463,-0.55286,3.4552
299.781,55.98442,-0.55469,3.45213
300.781,56.18416,-0.55748,3.44903
301.781,56.38421,-0.56017,3.44591
302.781,56.58436,-0.56412,3.44275
303.781,56.78436,-0.56588,3.43958
304.781,56.98434,-0.56856,3.43637
305.781,57.18421,-0.57124,3.43314
306.781,57.38385,-0.57355,3.42989
307.781,57.58371,-0.57732,3.42661
308.781,57.78393,-0.57959,3.4233
309.781,57.98429,-0.58252,3.41997
310.781,58.18423,-0.58336,3.41661
311.781,58.38387,-0.5874,3.41323
312.781,58.5835,-0.58882,3.40982
313.781,58.78298,-0.5924,3.40639
314.781,58.98284,-0.59605,3.40293
315.781,59.18316,-0.59555,3.39944
316.781,59.38336,-0.60057,3.39593
317.781,59.58345,-0.60292,3.3924
318.781,59.78348,-0.60492,3.38884
319.781,59.98341,-0.60694,3.38526
320.781,60.18328,-0.60991,3.38165
321.781,60.38297,-0.61153,3.37802
322.781,60.58278,-0.61431,3.37436
323.781,60.78299,-0.61742,3.37068
324.781,60.98317,-0.62019,3.36697
325.781,61.183,-0.62183,3.36324
326.781,61.38285,-0.62542,3.35948
327.781,61.5828,-0.6271,3.3557
328.781,61.78272,-0.62967,3.3519
329.781,61.98274,-0.63224,3.34807
330.781,62.18309,-0.63525,3.34422
331.781,62.38331,-0.637,3.34035
332.781,62.5831,-0.63927,3.33645
333.781,62.78295,-0.64234,3.33253
334.781,62.98279,-0.64367,3.32858
335.781,63.18252,-0.64626,3.32461
336.781,63.38244,-0.63203,3.32062
337.781,63.58269,-0.65025,3.31661
338.781,63.78289,-0.65322,3.31257
339.781,63.98276,-0.65432,3.30851
340.781,64.18281,-0.65748,3.30442
341.781,64.38286,-0.66085,3.30032
342.781,64.58243,-0.66183,3.29619
343.781,64.7822,-0.66287,3.29204
344.781,64.98244,-0.662,3.28786
345.781,65.18256,-0.66628,3.28366
346.781,65.38269,-0.66776,3.27945
347.781,65.58269,-0.66736,3.2752
348.781,65.7824,-0.6693,3.27094
349.781,65.98218,-0.67214,3.26666
350.781,66.18207,-0.67552,3.26235
351.781,66.38206,-0.67811,3.25802
352.781,66.58218,-0.68171,3.25367
353.781,66.78237,-0.68374,3.2493
354.781,66.98257,-0.68493,3.2449
355.781,67.18248,-0.68705,3.24049
356.781,67.3821,-0.68908,3.23605
357.781,67.58177,-0.68959,3.23159
358.781,67.78158,-0.6826,3.22711
359.781,67.98165,-0.68663,3.22261
360.781,68.1817,-0.69307,3.21809
